name,source,logMstar_gal,g_minus_i,has_nsc,colour_class_fig3,host_type_fig3
fig03_0245,NGVS,7.5,0.7699999999999996,True,red_sequence,early
fig03_0246,NGVS,7.0,0.6799999999999997,True,red_sequence,early
fig03_0247,NGVS,5.8,0.7599999999999998,False,red_sequence,early
fig03_0248,NGVS,6.3,0.8000000000000007,False,red_sequence,early
fig03_0249,NGVS,6.0,0.9299999999999997,False,red_sequence,early
fig03_0250,NGVS,6.3,0.9800000000000004,False,red_sequence,early
fig03_0251,NGVS,6.2,1.0399999999999991,False,red_sequence,early
fig03_0252,NGVS,7.9,0.9700000000000006,True,red_sequence,early
fig03_0253,NGVS,5.8,1.1799999999999997,False,red_sequence,early
fig03_0254,NGVS,9.8,0.990000000000002,False,red_sequence,early
fig03_0255,NGVS,6.4,0.7900000000000009,False,red_sequence,early
fig03_0256,NGVS,8.5,1.0700000000000003,True,red_sequence,early
fig03_0257,NGVS,6.0,1.08,False,red_sequence,early
fig03_0258,NGVS,7.4,0.8000000000000007,True,red_sequence,early
fig03_0259,NGVS,5.3,0.7599999999999998,False,red_sequence,early
fig03_0260,NGVS,6.7,0.75,True,red_sequence,early
fig03_0261,NGVS,7.2,0.8100000000000005,True,red_sequence,early
fig03_0262,NGVS,8.2,0.8399999999999999,True,red_sequence,early
fig03_0263,NGVS,7.4,0.9199999999999999,False,red_sequence,early
fig03_0264,NGVS,5.6,0.7200000000000006,False,red_sequence,early
fig03_0265,NGVS,7.1,0.7800000000000011,True,red_sequence,early
fig03_0266,NGVS,5.5,0.6799999999999997,False,red_sequence,early
fig03_0267,NGVS,7.1,1.1199999999999992,False,red_sequence,early
fig03_0268,NGVS,5.3,0.7300000000000004,False,red_sequence,early
fig03_0269,NGVS,8.9,1.0,True,red_sequence,early
fig03_0270,NGVS,7.0,0.7699999999999996,False,red_sequence,early
fig03_0271,NGVS,6.5,0.9799999999999986,False,red_sequence,early
fig03_0272,NGVS,6.8,0.6500000000000004,False,red_sequence,early
fig03_0273,NGVS,6.7,0.7400000000000002,False,red_sequence,early
fig03_0274,NGVS,5.7,0.8099999999999987,False,red_sequence,early
fig03_0275,NGVS,6.3,0.7799999999999994,False,red_sequence,early
fig03_0276,NGVS,8.4,0.370000000000001,False,blue_cloud,late
fig03_0277,NGVS,8.4,0.40000000000000036,False,blue_cloud,late
fig03_0278,NGVS,6.3,0.8399999999999999,True,red_sequence,early
fig03_0279,NGVS,9.1,0.7899999999999991,True,red_sequence,early
fig03_0280,NGVS,5.8,0.7699999999999996,False,red_sequence,early
fig03_0281,NGVS,6.0,0.5600000000000005,False,red_sequence,early
fig03_0282,NGVS,7.0,1.1499999999999986,False,red_sequence,early
fig03_0283,NGVS,7.1,0.8199999999999985,False,red_sequence,early
fig03_0284,NGVS,5.3,0.6199999999999992,False,red_sequence,early
fig03_0285,NGVS,6.5,0.8200000000000003,False,red_sequence,early
fig03_0286,NGVS,5.8,0.35999999999999943,False,blue_cloud,late
fig03_0287,NGVS,7.9,0.8900000000000006,False,red_sequence,early
fig03_0288,NGVS,7.1,1.0,False,red_sequence,early
fig03_0289,NGVS,8.6,0.8599999999999994,True,red_sequence,early
fig03_0290,NGVS,5.9,0.6600000000000001,False,red_sequence,early
fig03_0291,NGVS,7.2,0.870000000000001,False,red_sequence,early
fig03_0292,NGVS,7.2,0.7100000000000009,False,red_sequence,early
fig03_0293,NGVS,8.0,0.7999999999999989,True,red_sequence,early
fig03_0294,NGVS,5.7,0.9399999999999995,False,red_sequence,early
fig03_0295,NGVS,7.4,0.8300000000000001,True,red_sequence,early
fig03_0296,NGVS,7.4,0.9100000000000001,True,red_sequence,early
fig03_0297,NGVS,6.1,0.7100000000000009,False,red_sequence,early
fig03_0298,NGVS,9.9,0.990000000000002,True,red_sequence,early
fig03_0299,NGVS,6.3,0.7400000000000002,False,red_sequence,early
fig03_0300,NGVS,6.4,-0.5,False,blue_cloud,late
fig03_0301,NGVS,7.2,0.6499999999999986,False,red_sequence,early
fig03_0302,NGVS,6.6,0.6600000000000001,False,red_sequence,early
fig03_0303,NGVS,5.9,0.6899999999999995,True,red_sequence,early
fig03_0304,NGVS,6.7,0.9699999999999989,False,red_sequence,early
fig03_0305,NGVS,6.2,0.8399999999999999,False,red_sequence,early
fig03_0306,NGVS,6.5,1.3099999999999987,False,red_sequence,early
fig03_0307,NGVS,7.3,0.7900000000000009,False,red_sequence,early
fig03_0308,NGVS,7.5,0.7599999999999998,True,red_sequence,early
fig03_0309,NGVS,7.5,0.8200000000000003,True,red_sequence,early
fig03_0310,NGVS,6.9,0.7400000000000002,False,red_sequence,early
fig03_0311,NGVS,5.3,0.20000000000000107,False,blue_cloud,late
fig03_0312,NGVS,6.4,0.7099999999999991,False,red_sequence,early
fig03_0313,NGVS,9.4,1.009999999999998,False,red_sequence,early
fig03_0314,NGVS,6.5,0.9199999999999999,False,red_sequence,early
